,genero,idade,idade_parceiro,raa,raa_parceiro,Mesma raa?,importancia_mesma_raca,importancia_mesma_religiao,formao,pref_parceiro_atratividade,pref_parceiro_sinceridade,pref_parceiro_inteligencia,pref_parceiro_engracado,pref_parceiro_ambicao,pref_parceiro_interessescomuns,avaliacao_atratividade,avaliacao_sinceridade,avaliacao_inteligencia,avaliacao_engracado,avaliacao_ambicao,avaliacao_interessescomuns,busco_atratividade,busco_sinceridade,busco_inteligencia,busco_engracado,busco_ambicao,busco_interessescomuns,sou_atrativo,sou_sincero,sou_inteligente,sou_engracado,sou_ambicioso,parceiro_atrativo,parceiro_sincero,parceiro_inteligente,parceiro_engracado,parceiro_ambicioso,interessescomunsparceiro,esportes,esportes_tv,exercicio,jantares,museus,arte,trilhas,videogames,leitura,tv,teatro,filmes,shows,musica,shopping,yoga,correlacao_interesses,expectativas,quantos_acho_vao_gostar_demim,quantos_matches_acho_terei,gostou_parceiro,parceiro_gostou_demim_acho,conhecia_parceiro,decisao,decisao_parceiro,match
0,b'female',21,27,b'Asian/Pacific Islander/Asian-American',b'European/Caucasian-American',b'0',2,4,b'Law',35,20,20,20,0,5,6,8,8,8,8,6,15,20,20,15,15,15,6,8,8,8,7,6,9,7,7,6,5,9,2,8,9,1,1,5,1,6,9,1,10,10,9,8,1,0.14,3,2,4,7,6,0,b'1',b'0',nao
1,b'female',21,22,b'Asian/Pacific Islander/Asian-American',b'European/Caucasian-American',b'0',2,4,b'Law',60,0,0,40,0,0,7,8,10,7,7,5,15,20,20,15,15,15,6,8,8,8,7,7,8,7,8,5,6,9,2,8,9,1,1,5,1,6,9,1,10,10,9,8,1,0.54,3,2,4,7,5,1,b'1',b'0',nao
2,b'female',21,22,b'Asian/Pacific Islander/Asian-American',b'Asian/Pacific Islander/Asian-American',b'1',2,4,b'Law',19,18,19,18,14,12,10,10,10,10,10,10,15,20,20,15,15,15,6,8,8,8,7,5,8,9,8,5,7,9,2,8,9,1,1,5,1,6,9,1,10,10,9,8,1,0.16,3,2,4,7,,1,b'1',b'1',sim
3,b'female',21,23,b'Asian/Pacific Islander/Asian-American',b'European/Caucasian-American',b'0',2,4,b'Law',30,5,15,40,5,5,7,8,9,8,9,8,15,20,20,15,15,15,6,8,8,8,7,7,6,8,7,6,8,9,2,8,9,1,1,5,1,6,9,1,10,10,9,8,1,0.61,3,2,4,7,6,0,b'1',b'1',sim
4,b'female',21,24,b'Asian/Pacific Islander/Asian-American',b'Latino/Hispanic American',b'0',2,4,b'Law',30,10,20,10,10,20,8,7,9,6,9,7,15,20,20,15,15,15,6,8,8,8,7,5,6,7,7,6,6,9,2,8,9,1,1,5,1,6,9,1,10,10,9,8,1,0.21,3,2,4,6,6,0,b'1',b'1',sim
5,b'female',21,25,b'Asian/Pacific Islander/Asian-American',b'European/Caucasian-American',b'0',2,4,b'Law',50,0,30,10,0,10,7,7,8,8,7,7,15,20,20,15,15,15,6,8,8,8,7,4,9,7,4,6,4,9,2,8,9,1,1,5,1,6,9,1,10,10,9,8,1,0.25,3,2,4,6,5,0,b'0',b'1',nao
6,b'female',21,30,b'Asian/Pacific Islander/Asian-American',b'European/Caucasian-American',b'0',2,4,b'Law',35,15,25,10,5,10,3,6,7,5,8,7,15,20,20,15,15,15,6,8,8,8,7,7,6,7,4,6,7,9,2,8,9,1,1,5,1,6,9,1,10,10,9,8,1,0.34,3,2,4,6,5,0,b'1',b'0',nao
7,b'female',21,27,b'Asian/Pacific Islander/Asian-American',b'European/Caucasian-American',b'0',2,4,b'Law',33.33,11.11,11.11,11.11,11.11,22.22,6,7,5,6,8,6,15,20,20,15,15,15,6,8,8,8,7,4,9,7,6,5,6,9,2,8,9,1,1,5,1,6,9,1,10,10,9,8,1,0.5,3,2,4,6,7,,b'0',b'0',nao
8,b'female',21,28,b'Asian/Pacific Islander/Asian-American',b'European/Caucasian-American',b'0',2,4,b'Law',50,0,25,10,0,15,7,7,8,8,8,9,15,20,20,15,15,15,6,8,8,8,7,7,6,8,9,8,8,9,2,8,9,1,1,5,1,6,9,1,10,10,9,8,1,0.28,3,2,4,7,7,0,b'1',b'1',sim
9,b'female',21,24,b'Asian/Pacific Islander/Asian-American',b'European/Caucasian-American',b'0',2,4,b'Law',100,0,0,0,0,0,6,6,6,6,6,6,15,20,20,15,15,15,6,8,8,8,7,5,6,6,8,10,8,9,2,8,9,1,1,5,1,6,9,1,10,10,9,8,1,-0.36,3,2,4,6,6,0,b'1',b'0',nao
10,b'female',24,27,b'European/Caucasian-American',b'European/Caucasian-American',b'1',2,5,b'law',35,20,20,20,0,5,8,7,6,9,7,4,45,5,25,20,0,5,7,5,10,8,3,5,7,8,4,6,3,3,2,7,10,8,6,3,5,10,1,9,8,7,8,3,1,0.29,4,5,3,6,4,0,b'0',b'0',nao
11,b'female',24,22,b'European/Caucasian-American',b'European/Caucasian-American',b'1',2,5,b'law',60,0,0,40,0,0,7,6,10,6,6,5,45,5,25,20,0,5,7,5,10,8,3,8,5,6,6,9,6,3,2,7,10,8,6,3,5,10,1,9,8,7,8,3,1,0.18,4,5,3,7,3,0,b'0',b'0',nao
12,b'female',24,22,b'European/Caucasian-American',b'Asian/Pacific Islander/Asian-American',b'0',2,5,b'law',19,18,19,18,14,12,10,10,10,10,10,10,45,5,25,20,0,5,7,5,10,8,3,5,8,9,6,3,4,3,2,7,10,8,6,3,5,10,1,9,8,7,8,3,1,0.1,4,5,3,6,7,0,b'0',b'1',nao
13,b'female',24,23,b'European/Caucasian-American',b'European/Caucasian-American',b'1',2,5,b'law',30,5,15,40,5,5,9,9,9,9,9,9,45,5,25,20,0,5,7,5,10,8,3,7,9,7,6,5,7,3,2,7,10,8,6,3,5,10,1,9,8,7,8,3,1,-0.21,4,5,3,7,8,0,b'1',b'1',sim
14,b'female',24,24,b'European/Caucasian-American',b'Latino/Hispanic American',b'0',2,5,b'law',30,10,20,10,10,20,10,10,10,10,7,8,45,5,25,20,0,5,7,5,10,8,3,6,8,7,9,7,8,3,2,7,10,8,6,3,5,10,1,9,8,7,8,3,1,0.32,4,5,3,8,6,1,b'0',b'1',nao
15,b'female',24,25,b'European/Caucasian-American',b'European/Caucasian-American',b'1',2,5,b'law',50,0,30,10,0,10,7,8,7,5,7,7,45,5,25,20,0,5,7,5,10,8,3,8,7,8,3,6,2,3,2,7,10,8,6,3,5,10,1,9,8,7,8,3,1,0.73,4,5,3,6,5,0,b'0',b'1',nao
16,b'female',24,30,b'European/Caucasian-American',b'European/Caucasian-American',b'1',2,5,b'law',35,15,25,10,5,10,5,3,4,3,5,3,45,5,25,20,0,5,7,5,10,8,3,7,5,9,6,7,9,3,2,7,10,8,6,3,5,10,1,9,8,7,8,3,1,0.6,4,5,3,8,7,0,b'1',b'0',nao
17,b'female',24,27,b'European/Caucasian-American',b'European/Caucasian-American',b'1',2,5,b'law',33.33,11.11,11.11,11.11,11.11,22.22,7,7,7,7,7,5,45,5,25,20,0,5,7,5,10,8,3,5,8,7,5,9,5,3,2,7,10,8,6,3,5,10,1,9,8,7,8,3,1,0.07,4,5,3,5,6,0,b'0',b'1',nao
18,b'female',24,28,b'European/Caucasian-American',b'European/Caucasian-American',b'1',2,5,b'law',50,0,25,10,0,15,8,6,9,9,8,7,45,5,25,20,0,5,7,5,10,8,3,7,6,8,9,4,5,3,2,7,10,8,6,3,5,10,1,9,8,7,8,3,1,0.11,4,5,3,5,6,0,b'1',b'1',sim
19,b'female',24,24,b'European/Caucasian-American',b'European/Caucasian-American',b'1',2,5,b'law',100,0,0,0,0,0,6,5,7,7,9,7,45,5,25,20,0,5,7,5,10,8,3,6,7,8,7,9,8,3,2,7,10,8,6,3,5,10,1,9,8,7,8,3,1,0.39,4,5,3,8,7,0,b'1',b'0',nao
